Entity,Category,Popularity_Tier,Model,RQ1_Predicted_Type,RQ1_Type_Match,RQ2_Feature_Present,RQ3_Description,RQ3_Propositions,RQ3_Hallucinations_Count,RQ3_Details,RQ3_Ground_Truth_Source
Euzois of Byzantium,Random,Long-tail,scads_flux2_dev,Person,,,"A portrait of a man with light-colored eyes and a short beard, wearing draped brown and white clothing, with text in the background.","[""The image depicts a man from the chest up"", ""The man has blue or light-colored eyes"", ""The man has a short beard and mustache"", ""The man is wearing a brown cloak or drape"", ""The man is wearing a white garment underneath the cloak"", ""There is stylized text in the upper left and upper right corners of the background"", ""The background is a solid, neutral brown tone"", ""The man is holding a piece of fabric in his hand""]",0,None,wikipedia
Thierry Grégoire,Random,Long-tail,scads_flux2_dev,Person,,,A head-and-shoulders portrait of a middle-aged man with short brown hair wearing a light blue button-down shirt against a plain white background.,"[""The person is a man"", ""The man has short brown hair"", ""The man is wearing a light blue shirt"", ""The background is a solid off-white color"", ""The man is facing the camera"", ""The man has a slight smile""]",0,None,wikipedia
"Gullivers Cove, Nova Scotia",Random,Long-tail,scads_flux2_dev,Landscape,,,"A coastal scene featuring a rocky shoreline, a small cluster of buildings, and a forested hillside overlooking a body of water.","[""There is a body of water in the foreground and middle ground"", ""The shoreline is composed of dark, jagged rocks"", ""There are several white buildings on the land"", ""A dense forest of evergreen trees covers the hillside"", ""The sky is overcast and light grey"", ""There is a small cove or bay area"", ""The foreground contains rocky terrain with sparse green vegetation""]",0,None,wikipedia
Evangeline Downs,Random,Long-tail,scads_flux2_dev,Building,,,"A large open-air pavilion or arena building with a crowd of people gathered in front and on a balcony, featuring a large sign that reads 'EVANGELINE DOWNS'.","[""The building has a sign that says 'EVANGELINE DOWNS'"", ""There is a secondary sign that says 'Evangeline Downend Coricio'"", ""A large crowd of people is gathered in the foreground"", ""There is a balcony area with people watching from above"", ""The building has a light-colored corrugated metal exterior"", ""There is a square tower structure on the roof"", ""Several dark-colored umbrellas are set up in the crowd area"", ""A flag is visible on a pole to the left of the building"", ""The sky is a clear, pale gradient suggesting dawn or dusk""]",1,"The proposition 'There is a secondary sign that says ""Evangeline Downend Coricio""' contains nonsensical text that contradicts the entity's name.",wikipedia
Candy (Ken Hirai song),Random,Long-tail,scads_flux2_dev,Person,,,"A man with dark hair wearing a light pink garment against a solid pink background, with his hand near his mouth in a surprised expression.","[""The person has dark hair"", ""The person is wearing a light pink garment"", ""The background is a solid pink color"", ""The person's hand is touching their chin/mouth area"", ""The person has an open-eyed, surprised facial expression""]",0,None,wikipedia
Naranpanawe Karagastenna,Random,Long-tail,scads_flux2_dev,Building,,,"An ancient stone temple tower with tiered architecture, situated on a raised platform with stairs, surrounded by trees.","[""The building is made of weathered stone"", ""There is a central tower with a pointed top"", ""The structure is built on a tiered platform"", ""There are stone stairs leading up to the tower"", ""The building is surrounded by green trees"", ""There is a small building with a red roof to the right"", ""The ground in the foreground is reddish-brown soil"", ""The sky is blue with white clouds""]",0,None,wikipedia
Isaac González Martínez,Random,Long-tail,scads_flux2_dev,Person,,,"A head-and-shoulders portrait of a man with dark hair and a light blue collared shirt against a plain, light-colored background.","[""The person has dark brown hair"", ""The person has brown eyes"", ""The person is wearing a light blue button-down shirt"", ""The person has short facial stubble"", ""The background is a solid, neutral off-white color"", ""The person is facing the camera directly""]",0,None,wikipedia
Vittorio Arminjon,Random,Long-tail,scads_flux2_dev,Person,,,A head-and-shoulders portrait of a man wearing professional business attire.,"[""The person is a man"", ""He is wearing a dark suit jacket"", ""He is wearing a light-colored striped dress shirt"", ""He is wearing a blue necktie"", ""He has short, dark hair with some grey"", ""He is smiling slightly"", ""The background is a blurred indoor office setting with a window""]",0,None,wikipedia
Imran Amed,Random,Long-tail,scads_flux2_dev,Person,,,"A head-and-shoulders portrait of a man with dark hair and a slight smile, wearing a dark blazer over a light-colored shirt.","[""The person has dark, wavy hair"", ""The person has brown eyes"", ""The person is wearing a dark blue blazer"", ""The person is wearing a light blue or white collared shirt"", ""The background is blurred and neutral in color"", ""The person is facing the camera directly""]",0,None,wikipedia
Bibliography of Copenhagen,Random,Long-tail,scads_flux2_dev,Object,,,"An open vintage book featuring architectural sketches and text, held open by a brown leather strap.","[""The image shows an open book"", ""There are two black and white architectural illustrations on the pages"", ""The book contains printed text in a serif font"", ""A brown leather strap is draped across the pages"", ""The background is a solid neutral beige color"", ""The illustrations depict European-style buildings""]",0,None,wikipedia
Elihu Colman,Random,Long-tail,scads_flux2_dev,Person,,,A head-and-shoulders portrait of a smiling man wearing glasses and a blazer.,"[""The person is wearing black-rimmed glasses"", ""The person has a beard and mustache"", ""The person is smiling, showing teeth"", ""The person is wearing a maroon or burgundy blazer"", ""The person is wearing a blue button-down shirt"", ""The background is a neutral, light-colored wall""]",0,None,wikipedia
Cabaniss Formation,Random,Long-tail,scads_flux2_dev,Landscape,,,"A person walking beside a large, stratified rock wall or cliff face under a cloudy sky.","[""There is a person walking away from the camera"", ""The person is wearing a dark green jacket and blue jeans"", ""There is a large rock wall with visible horizontal layers"", ""The ground is covered in loose rocks and gravel"", ""The sky is overcast with light clouds"", ""The rock wall has a brownish-tan color""]",0,None,wikipedia
Green Park Historic District,Random,Long-tail,scads_flux2_dev,Building,,,"A large white two-story house with a grey roof, surrounded by a green lawn and mature trees under an overcast sky.","[""The building is white"", ""The roof is grey"", ""There is a green lawn in the foreground"", ""A large green tree is on the left side of the image"", ""A tree with dark purple leaves is on the right side of the image"", ""The building has a central entrance with a small porch"", ""There are white flowers in a garden bed in the foreground"", ""The sky is cloudy""]",0,None,wikipedia
Agustina Andrade,Random,Long-tail,scads_flux2_dev,Person,,,"A head-and-shoulders portrait of a woman with long, curly brown hair wearing a taupe-colored shirt.","[""The person has long, curly brown hair"", ""The person is wearing a taupe or olive-grey colored top"", ""The person is looking directly at the camera"", ""The background is blurred"", ""The person has a small earring in their left ear""]",0,None,wikipedia
Mount Sarnegor,Random,Long-tail,scads_flux2_dev,Landscape,,,"A large, rugged mountain peak under a clear blue sky with sparse clouds.","[""There is a prominent rocky mountain peak"", ""The sky is blue"", ""There are a few small white clouds"", ""The mountain has steep, rocky slopes"", ""There are patches of green vegetation on the lower slopes"", ""Shadows are cast across the right side of the mountain"", ""The foreground consists of grey rocks""]",1,"The proposition regarding green vegetation is contradicted by the ground truth, which describes the mountain as mostly ice-covered and located in Antarctica.",wikipedia
Mohammad Zahid (Faisalabad cricketer),Random,Long-tail,scads_flux2_dev,Person,,,"A medium shot of a man with a beard and dark hair, wearing a dark grey button-down shirt, standing with arms crossed against a blurred outdoor background.","[""The person has a dark beard and mustache"", ""The person has dark hair"", ""The person is wearing a dark grey shirt"", ""The person's arms are crossed"", ""The person is wearing a necklace"", ""The background is blurred"", ""There are other indistinct figures in the background"", ""The setting appears to be outdoors during daylight""]",0,None,wikipedia
"Cyrus, Missouri",Random,Long-tail,scads_flux2_dev,Landscape,,,"A small town street scene at dusk featuring a row of brick buildings, a river in the background, and rolling hills under a pale sky.","[""There is a row of brick buildings along a street"", ""A river is visible in the background"", ""There are green hills in the distance"", ""The sky is a pale gradient of orange and blue"", ""There are several parked cars on the street"", ""A large green tree is in the left foreground"", ""There is a grassy area in the bottom foreground"", ""Utility poles are present along the roadside"", ""A tower-like structure is visible on a distant hill""]",1,The ground truth mentions low hills (Crowleys Ridge) but makes no mention of a river; the presence of a river is an unsupported addition.,wikipedia
Akech (queen),Random,Long-tail,scads_flux2_dev,Person,,,"A woman wearing ornate gold royal attire, including a crown and jewelry, posed against a neutral wall.","[""The person is wearing a gold crown with blue and red gemstones"", ""The person is wearing large gold hoop earrings"", ""The person is wearing multiple gold necklaces"", ""The person is wearing gold bracelets on both wrists"", ""The person is wearing a gold and brown patterned dress"", ""The person is wearing a brown velvet cape"", ""The person has dark skin"", ""The person has dark hair styled in small twists"", ""The person is smiling"", ""The person's hands are resting on a small brown book""]",0,None,wikipedia
Shima Park,Random,Long-tail,scads_flux2_dev,Landscape,,,"A public park scene featuring a pond, cherry blossom trees in bloom, and several people walking around.","[""There is a body of water in the foreground"", ""Several trees have pink blossoms"", ""There are people walking on a path"", ""A curved wooden structure is visible on the left"", ""The sky is clear and light blue"", ""Rocks are positioned along the edge of the water"", ""Trees are reflected in the pond""]",0,None,wikipedia
Lygodactylus roavolana,Random,Long-tail,scads_flux2_dev,Animal,,,A small green lizard resting on a brown tree branch with a blurred natural background.,"[""There is a green lizard"", ""The lizard is on a brown branch"", ""The lizard has a visible eye"", ""The lizard has toes with pads"", ""The background is out of focus"", ""The lizard's skin has variations of green and yellow""]",0,None,wikipedia
Gemmobacter,Random,Long-tail,scads_flux2_dev,Object,,,"A grayscale image of a cluster of translucent, bubble-like organic structures against a dark, speckled background with various alphanumeric labels.","[""The central object consists of several fused spherical or lobed shapes"", ""The object has a glowing white outline"", ""The background is black with small white dots resembling stars or particles"", ""There are white text labels scattered around the central object"", ""The image is in grayscale""]",0,None,wikipedia
Rachel Mayberry,Random,Long-tail,scads_flux2_dev,Person,,,A head-and-shoulders portrait of a smiling woman with long brown hair wearing professional attire.,"[""The person has long, wavy brown hair"", ""The person is smiling, showing teeth"", ""The person is wearing a dark grey blazer"", ""The person is wearing a light blue collared shirt"", ""The background is blurred and neutral-toned"", ""The person is facing the camera""]",0,None,wikipedia
2019 World Rowing Championships – PR3 Men's coxless pair,Random,Long-tail,scads_flux2_dev,Person,,,Four men in white shirts rowing a long rowing shell on a body of water with trees in the background.,"[""There are four men in the boat"", ""The men are wearing white short-sleeved shirts"", ""The boat is a rowing shell"", ""There are oars extending from the boat"", ""The boat is on a body of water"", ""There is a treeline in the background"", ""There is text at the top of the image"", ""The water shows reflections of the boat and rowers""]",1,"The proposition 'There are four men in the boat' contradicts the entity name 'coxless pair', which specifies only two rowers.",wikipedia
Confeugo,Random,Long-tail,scads_flux2_dev,Object,,,Two small sandwiches or sliders on a white plate.,"[""There are two sandwiches on a white plate"", ""The sandwiches consist of a meat patty, melted cheese, and tomato slices"", ""The bread is a toasted roll"", ""There are small crumbs on the plate"", ""The background is blurred""]",5,"The ground truth describes Confeugo as an ancient cultural event in Liguria, not food. All propositions describing sandwiches are hallucinations.",wikipedia
"Koçkaya, Refahiye",Random,Long-tail,scads_flux2_dev,Landscape,,,"A small village of houses with red and grey roofs nestled in a valley surrounded by large, arid mountains under a clear blue sky.","[""There is a cluster of buildings in a valley"", ""Many buildings have red roofs"", ""Some buildings have grey roofs"", ""Large mountains are in the background"", ""The terrain is mostly brown and green grass"", ""The sky is clear and blue"", ""There are a few scattered trees in the foreground"", ""The mountains are barren with little vegetation""]",0,None,wikipedia
Fium'Alto,Random,Long-tail,scads_flux2_dev,Landscape,,,A coastal village with densely packed terracotta-roofed buildings overlooking a bay and the sea.,"[""There are numerous buildings with brown tiled roofs"", ""A body of water is visible in the background"", ""The village is situated on a hillside"", ""There is a small beach area with boats"", ""A cliffside is visible on the right side of the image"", ""The sky is clear and blue"", ""There is a church or tower structure on the right side of the village"", ""Green vegetation is scattered among the buildings and on the hills""]",7,"The ground truth describes a river, but the propositions describe a coastal village with buildings, a beach, and a church.",wikipedia
2024 President of Ireland's Cup,Random,Long-tail,scads_flux2_dev,Object,,,"A polished silver trophy cup with two handles, a lid, and an engraved crest and date.","[""The object is a silver-colored trophy cup"", ""The cup has two curved handles"", ""The cup has a removable lid with a decorative finial"", ""There is an engraved crest on the front of the cup"", ""The number '2024' is engraved below the crest"", ""The cup sits on a circular pedestal base"", ""The background is a solid neutral gray""]",0,None,wikipedia
Novius lindi,Random,Long-tail,scads_flux2_dev,Object,,,A still life arrangement of rustic items inside a room with an arched window overlooking snowy mountains.,"[""There is a glowing orange bottle"", ""There is a brown boot"", ""There are stacked blankets or textiles"", ""There is a bowl containing two eggs"", ""There is a ceramic pot with handles"", ""There is a wooden tool or handle in the foreground"", ""There is an arched window"", ""Snowy mountains are visible through the window"", ""The floor is made of wood planks""]",9,"All propositions are hallucinations; the entity is a beetle, but the image depicts a rustic room with household items and mountains.",wikipedia
Stardust,Random,Long-tail,scads_flux2_dev,Landscape,,,A spiral galaxy centered in a dark starfield with stylized text at the bottom.,"[""There is a spiral-shaped celestial body in the center"", ""The center of the spiral is bright white and yellow"", ""The spiral arms contain blue and red clusters of light"", ""The background is black with numerous small white dots representing stars"", ""There is stylized white text at the bottom that reads 'STARDUST'"", ""There is smaller text below the main word 'STARDUST'""]",6,"All propositions describe a celestial galaxy, whereas the ground truth identifies 'Stardust' as a 2007 romantic fantasy adventure film.",wikipedia
Johannes Fritsch,Random,Long-tail,scads_flux2_dev,Person,,,A black and white portrait of a middle-aged man wearing a suit and tie.,"[""The image is in grayscale"", ""The person is wearing a dark suit jacket"", ""The person is wearing a light-colored collared shirt"", ""The person is wearing a necktie"", ""The person has short, receding hair"", ""The person is facing the camera""]",0,None,wikipedia
Solicitor-General for Ireland,Random,Long-tail,scads_flux2_dev,Person,,,"A head-and-shoulders portrait of a man wearing a suit and glasses, positioned in front of a wooden bookshelf.","[""The person is wearing a dark blue suit jacket"", ""The person is wearing a white dress shirt"", ""The person is wearing a blue patterned tie"", ""The person is wearing rimless or thin-framed eyeglasses"", ""The person is smiling"", ""The background consists of wooden cabinetry and books"", ""The person has short brown hair""]",0,None,wikipedia
Homeoptoton,Random,Long-tail,scads_flux2_dev,Object,,,A corporate logo featuring a stylized green house icon above the text 'Homeoptoton'.,"[""There is a green stylized house icon"", ""The house icon contains a four-pane window"", ""The bottom of the house icon features a swirling green wave pattern"", ""The text 'Homeoptoton' is written in black bold sans-serif font"", ""The background is a light off-white color""]",5,"The ground truth defines 'homeoptoton' as a figure of speech (linguistic device), not a corporate entity, house, or visual logo. All visual propositions are hallucinations as they treat a rhetorical term as a brand/object.",wikipedia
"Albert I, Duke of Brunswick",Random,Long-tail,scads_flux2_dev,Person,,,A portrait painting of a man with a beard wearing an ornate blue garment and heavy jewelry.,"[""The person has light-colored eyes"", ""The person has a brown beard and mustache"", ""The person is wearing a blue garment"", ""The garment has an ornate gold-embroidered collar"", ""The person is wearing multiple heavy gold chains and medallions"", ""The background is a solid, dark neutral tone"", ""There is text in the upper right corner""]",0,None,wikipedia
Boston College Lynch School of Education and Human Development,Random,Long-tail,scads_flux2_dev,Building,,,"A large brick academic building with a central tower, surrounded by green lawns and trees.","[""The building is constructed of red brick."", ""There is a central tower with a flagpole on top."", ""The text 'BOSTON COLLEGE LYNCH SCHOOL OF EDUCATION AND HUMAN DEVELOPMENT' is visible on the facade."", ""There are several people standing on a green lawn in front of the building."", ""There are flower beds with orange and red flowers."", ""Large green trees flank the sides of the building."", ""The building has multiple windows with white frames."", ""There is a central arched entrance.""]",0,None,wikipedia
1991 All-Africa Games,Random,Long-tail,scads_flux2_dev,Person,,,Four male athletes competing in a sprint race on a red running track inside a crowded stadium.,"[""There are four men running on a red track"", ""The runners are wearing athletic singlets and shorts"", ""The runners are in mid-stride"", ""There is a large crowd of people in the stadium stands"", ""The stadium has a curved roof structure"", ""There is a green grass field adjacent to the track"", ""One runner is wearing a blue singlet"", ""Two runners are wearing yellow and black singlets"", ""One runner is wearing a yellow, blue, and red singlet""]",0,None,wikipedia
Yuri Linnik,Random,Long-tail,scads_flux2_dev,Person,,,A head-and-shoulders portrait of a man with brown hair and a light beard against a neutral gray background.,"[""The person has brown hair"", ""The person has a short, groomed beard"", ""The person is wearing a light blue collared shirt"", ""The background is a solid gray color"", ""The person is facing the camera directly"", ""The person is smiling slightly""]",0,None,wikipedia
John O'Leary (Wexford politician),Random,Long-tail,scads_flux2_dev,Person,,,A head-and-shoulders portrait of a middle-aged man wearing a dark suit and tie.,"[""The person is a man"", ""The man has grey hair"", ""The man is wearing a dark grey or black suit jacket"", ""The man is wearing a light blue dress shirt"", ""The man is wearing a dark blue patterned tie"", ""The man is smiling slightly"", ""The background is blurred and neutral-toned""]",0,None,wikipedia
Klötze,Random,Long-tail,scads_flux2_dev,Landscape,,,A cobblestone street in a European-style town lined with multi-story buildings during twilight.,"[""The street is paved with cobblestones"", ""There are four people walking away from the camera"", ""The buildings have pitched roofs"", ""One building on the right has a sign that says 'Klötze'"", ""There is a hanging flower basket on the right side of the street"", ""The sky is a clear gradient of light blue and orange"", ""There is a tower visible in the distance at the end of the street"", ""The person on the far left is wearing a red jacket"", ""The person second from the left is wearing a blue jacket"", ""The person third from the left is wearing a red jacket"", ""The person on the far right is wearing a dark jacket""]",0,None,wikipedia
Moscow International House of Music,Random,Long-tail,scads_flux2_dev,Building,,,"A large, modern stone building with a massive glass facade and a fountain in the foreground plaza.","[""The building has a large rectangular glass wall"", ""There is text on top of the building that reads 'MOOKOW NSTER NATIONAL HOUSE OF MUSIC'"", ""A stone fountain is located in the center of the foreground"", ""People are sitting on benches and walking in the plaza"", ""The building is constructed from light-colored stone"", ""There are street lamps on the left side of the image"", ""The sky is clear and blue""]",1,The text 'MOOKOW NSTER NATIONAL HOUSE OF MUSIC' is a misspelling/hallucination of the entity's name.,wikipedia
Derailed (Ugly Betty),Random,Long-tail,scads_flux2_dev,Person,,,A man and a woman are standing next to a model train on a wooden table.,"[""There is a man wearing a tan sweater and a light blue collared shirt"", ""There is a woman with blonde hair wearing a dark blue dress and a black cardigan"", ""A model train is sitting on a wooden surface"", ""The man's hand is touching the top of the model train"", ""The woman is looking toward the man"", ""There are papers on the table in the foreground"", ""The background contains a wall with framed pictures and a shelf""]",7,"The ground truth describes a television episode, not a specific scene with these characters and objects. All visual propositions are hallucinations as they describe a specific image content not mentioned in the text.",wikipedia
Rene Villanueva,Random,Long-tail,scads_flux2_dev,Person,,,"A medium shot of a man wearing a professional business suit, posing with arms crossed in an office setting.","[""The person is wearing a dark grey suit jacket"", ""The person is wearing a white dress shirt"", ""The person is wearing a blue necktie"", ""The person has dark hair"", ""The person's arms are crossed"", ""There is a ring on the person's left ring finger"", ""The background is a blurred office interior"", ""There are framed pictures on the wall in the background""]",0,None,wikipedia
"St. Lachtain's Church, Freshford",Random,Long-tail,scads_flux2_dev,Building,,,"A stone church with a square tower and a gabled roof, situated in a grassy churchyard with headstones.","[""The building is constructed from grey stone"", ""There is a square tower with a pointed spire"", ""A cross is mounted on top of the spire"", ""The building has a dark grey tiled roof"", ""There is an arched entranceway"", ""The building has pointed arch windows"", ""There are stone headstones in the foreground"", ""The building is surrounded by green grass with small yellow flowers"", ""The sky is overcast with some blue patches""]",0,None,wikipedia
Miss Delaware's Teen,Random,Long-tail,scads_flux2_dev,Person,,,A portrait of a woman wearing a pageant sash and a formal dress against a neutral grey background.,"[""The person has long, wavy brown hair"", ""The person is smiling"", ""The person is wearing a white sash with blue text that reads 'MISS DELAWARE'"", ""The person is wearing a white, beaded or sequined dress"", ""The background is a solid, neutral grey color""]",0,None,wikipedia
Edouard Wojtczak,Random,Long-tail,scads_flux2_dev,Person,,,A head-and-shoulders portrait of a man with dark hair wearing a suit jacket and a light-colored button-down shirt against a neutral grey background.,"[""The person has dark brown hair"", ""The person is wearing a dark grey or black suit jacket"", ""The person is wearing a light blue button-down shirt"", ""The background is a solid light grey color"", ""The person is facing the camera"", ""The person has brown eyes""]",0,None,wikipedia
Simon Önerud,Random,Long-tail,scads_flux2_dev,Person,,,A portrait of a young man with brown curly hair wearing a white t-shirt against a neutral grey background.,"[""The person has brown curly hair"", ""The person is smiling"", ""The person is wearing a white short-sleeved t-shirt"", ""The background is a solid neutral grey color"", ""The person is facing the camera""]",0,None,wikipedia
Real... En Vivo,Random,Long-tail,scads_flux2_dev,Person,,,A musical band performing on a stage with dramatic red and blue lighting and a large text backdrop.,"[""There are six musicians on stage"", ""The text 'REAL... EN VIVO' is displayed in large orange letters"", ""Several people are playing electric guitars"", ""There is a drum kit in the background"", ""The stage is illuminated by red and blue spotlights"", ""A crowd of people is visible in silhouette in the foreground"", ""One person is singing into a microphone""]",0,None,wikipedia
Hurtan,Random,Long-tail,scads_flux2_dev,Object,,,The word 'Hurtan' written in a dark blue sans-serif font against a plain white background.,"[""The image contains text"", ""The text reads 'Hurtan'"", ""The text is dark blue"", ""The background is white"", ""The font is sans-serif""]",0,None,wikipedia
Lwów Oath,Random,Long-tail,scads_flux2_dev,Person,,,A group portrait of several men in formal and academic attire gathered around a table in an interior setting.,"[""There are multiple men depicted in the image"", ""The central figure is wearing a dark robe with a red collar and a decorative chain"", ""The central figure is holding a scroll with text"", ""Some men are wearing glasses"", ""One man is wearing a fur-trimmed hat"", ""There is a table in the foreground with books and glassware"", ""A large framed image or tapestry is hanging on the wall in the background"", ""Curtains are draped on the left and right sides of the scene"", ""There is text printed at the bottom of the image""]",0,None,wikipedia
Adam Falk,Random,Long-tail,scads_flux2_dev,Person,,,"A head-and-shoulders portrait of a man wearing a suit jacket and a light blue button-down shirt, set against a blurred office background.","[""The person is a man"", ""The man has short brown hair"", ""The man has blue eyes"", ""The man is wearing a dark grey suit jacket"", ""The man is wearing a light blue collared shirt"", ""The background is an out-of-focus indoor office environment"", ""The man is smiling slightly""]",0,None,wikipedia
Pachypodium gracilius,Random,Long-tail,scads_flux2_dev,Plant,,,"A succulent-like plant with a thick, woody base and numerous upright, pointed green stems.","[""The plant has a thick, brown, textured base"", ""The plant has multiple green, finger-like stems"", ""The stems are pointed at the tips"", ""The plant is growing in brown soil"", ""There is blurred green vegetation in the background"", ""The sky in the background is light blue and white""]",0,None,wikipedia
Tommaso dei Cavalieri,Random,Long-tail,scads_flux2_dev,Person,,,A portrait of a man with dark curly hair wearing a blue satin jacket and a white cravat.,"[""The person has dark, curly hair"", ""The person is wearing a blue satin or silk jacket"", ""The person is wearing a high white collar and cravat"", ""The background is dark and muted"", ""There are flowers and a peacock feather visible on the left side"", ""The person is facing forward with a neutral expression""]",0,None,wikipedia
Atuagkat Bookstore,Random,Long-tail,scads_flux2_dev,Building,,,A storefront of a bookstore named 'ATUAGKAT' with large glass windows displaying books and a gabled entrance porch.,"[""The building has a sign that reads 'ATUAGKAT'"", ""There are large glass windows on the front of the building"", ""Books are visible on shelves inside the windows"", ""There is a gabled roof over the entrance"", ""Two dark green columns support the entrance porch"", ""A small wooden table and bench are located outside to the left"", ""There are posters or flyers displayed in the windows"", ""The building is situated next to a paved road""]",0,None,wikipedia
Kista Strait,Random,Long-tail,scads_flux2_dev,Landscape,,,A city skyline featuring several high-rise buildings situated along a wide river with boats and a waterfront promenade.,"[""There are multiple skyscrapers in the background"", ""A wide river flows through the center of the image"", ""A small motorboat is moving on the water, leaving a wake"", ""There are several larger boats docked along the left bank"", ""A pedestrian walkway with a black railing runs along the bottom left"", ""There are leafless trees along the riverbanks"", ""Construction cranes are visible in the distance on the right"", ""The sky is light blue with sparse clouds""]",8,"All propositions are hallucinations; the entity is a strait in Antarctica, not a city skyline with skyscrapers, a river, a promenade, or construction cranes.",wikipedia
Tom Moosmayer,Random,Long-tail,scads_flux2_dev,Person,,,"A head-and-shoulders portrait of a middle-aged man wearing a grey suit jacket and a light blue button-down shirt against a plain, light-colored background.","[""The person is a man"", ""The man is wearing a grey suit jacket"", ""The man is wearing a light blue shirt"", ""The background is a solid, neutral color"", ""The man is facing the camera"", ""The man has short brown hair""]",0,None,wikipedia
Neuschwanstein,Famous Landmarks & Architecture,,scads_flux2_klein,Building,True,True,"A large, ornate stone castle with multiple spires and towers situated atop a rocky cliff under a blue sky with clouds.","[""The building is constructed from light-colored stone"", ""There are multiple pointed spires and conical roofs"", ""The structure is built on a steep, grey rocky outcrop"", ""There is a tall central tower with a clock face"", ""The sky is blue with white clouds"", ""There are mountains in the background"", ""Green trees are visible at the base of the cliff""]",1,The proposition mentioning a 'clock face' on the central tower is not supported by the ground truth and is not a characteristic of Neuschwanstein.,wikipedia
Parthenon,Famous Landmarks & Architecture,,scads_flux2_klein,Building,True,True,An ancient Greek-style temple made of white marble with Doric columns and a sculpted pediment.,"[""The building is constructed from white stone"", ""There are multiple vertical fluted columns"", ""The roof has a triangular pediment"", ""The pediment contains several human-like sculptures"", ""The building sits on a raised stone platform"", ""The sky in the background is blue"", ""There are stone ruins in the foreground"", ""A green tree is visible on the left side""]",0,None,wikipedia
Chichen Itza,Famous Landmarks & Architecture,,scads_flux2_klein,Building,True,True,"A large, stepped stone pyramid structure under a blue sky with white clouds, surrounded by grass and trees, with several people walking nearby.","[""The structure is a stepped pyramid made of stone"", ""There are stairs leading up the sides of the pyramid"", ""People are walking on the ground in front of the structure"", ""People are climbing the stairs of the pyramid"", ""The sky is blue with scattered white clouds"", ""There are green trees in the background"", ""The ground in the foreground is a mix of dirt and grass"", ""There are low stone ruins in the foreground""]",0,None,wikipedia
Machu Picchu,Famous Landmarks & Architecture,,scads_flux2_klein,Building,True,True,"An ancient stone city with terraced structures situated on a mountain ridge, surrounded by steep green peaks and a cloudy sky.","[""There are stone ruins consisting of multiple rectangular rooms"", ""The site features agricultural terraces"", ""The ruins are located on a mountain"", ""There are large, steep, green mountains in the background"", ""Small figures of people are walking among the ruins"", ""The sky is partially covered by white clouds"", ""The structures are made of grey stone""]",0,None,wikipedia
Stonehenge,Famous Landmarks & Architecture,,scads_flux2_klein,Object,False,True,"Several large, weathered standing stones arranged in a circle on a grassy field under a blue sky with white clouds.","[""There are multiple large vertical stones"", ""The stones are covered in moss and lichen"", ""The stones are situated on a green grassy field"", ""The sky is blue with white clouds"", ""There is a flat stone lying on the ground in the foreground"", ""The stones are weathered and irregular in shape""]",0,None,wikipedia
Petra,Famous Landmarks & Architecture,,scads_flux2_klein,Building,True,True,An ornate classical facade carved directly into a red sandstone cliff face.,"[""The structure is carved into red rock"", ""There are several large columns supporting an entablature"", ""There are human-shaped statues carved into the facade"", ""The building features a central doorway"", ""There is a circular tholos on the upper level"", ""The structure is flanked by high rock walls"", ""There are stone steps leading up to the entrance"", ""The rock has visible horizontal sedimentary layers""]",0,None,wikipedia
Colosseum,Famous Landmarks & Architecture,,scads_flux2_klein,Building,True,True,"A large, ancient stone amphitheater with multiple tiers of arches and weathered masonry.","[""The structure is made of light-colored stone"", ""There are multiple levels of open arches"", ""The top section of the wall is uneven and weathered"", ""People are walking along the base of the building"", ""People are visible on an upper gallery level"", ""The building has a curved facade"", ""There is a green grass area in the foreground"", ""The sky is blue with white clouds""]",0,None,wikipedia
Acropolis,Famous Landmarks & Architecture,,scads_flux2_klein,Building,True,True,An ancient Greek temple with numerous columns situated atop a rocky hill with a stone retaining wall.,"[""There is a large building with many vertical columns"", ""The building is light-colored"", ""The building is situated on a rocky elevation"", ""There is a stone wall below the building"", ""There are several large, scattered stone blocks in the foreground"", ""There are green trees and shrubs on the hillside"", ""Small figures of people are visible near the building and on the paths"", ""The sky is blue with a few small clouds""]",0,None,wikipedia
Alhambra,Famous Landmarks & Architecture,,scads_flux2_klein,Building,True,True,"An ornate courtyard of a historic building featuring Islamic architectural elements, a large central dome, and a reflecting pool.","[""There is a large central dome with a crescent finial"", ""The building is constructed from light-colored stone"", ""There are multiple pointed arches"", ""The walls feature intricate blue and white tilework"", ""A rectangular reflecting pool is in the foreground"", ""Several people are walking through the courtyard"", ""There are two smaller domes flanking the main dome"", ""The structure has multi-level galleries with wooden eaves""]",1,"The Alhambra does not feature a large central dome; it is characterized by flat roofs, towers, and vaulted ceilings.",wikipedia
Borobudur,Famous Landmarks & Architecture,,scads_flux2_klein,Building,True,False,"A large, tiered stone structure with a central conical spire and smaller flanking spires, featuring intricate carvings and arched niches.","[""The structure is made of dark stone"", ""There is a tall, ribbed conical spire at the top"", ""The building has a circular, tiered base"", ""There are two smaller spires on the left and right sides"", ""The base contains a row of arched niches"", ""A small human figure is visible in a central opening"", ""There are pointed, triangular architectural elements around the middle section"", ""The structure is situated on a grassy area"", ""The sky is light blue with scattered white clouds""]",0,None,wikipedia
